symbol_key,open_time_ms,open,high,low,close,volume
USDT-FUTURES:ETHUSDT,1777296000000,2315.1,2316.5,2314.51,2316.03,812.19
USDT-FUTURES:ETHUSDT,1777296300000,2316.03,2316.03,2312.56,2314.36,1257.95
USDT-FUTURES:ETHUSDT,1777296600000,2314.36,2316.15,2310.53,2312.57,14206.47
USDT-FUTURES:ETHUSDT,1777296900000,2312.57,2317.7,2311.51,2316.19,4070.87
USDT-FUTURES:ETHUSDT,1777297200000,2316.19,2319.8,2312.5,2315.01,2822.1
USDT-FUTURES:ETHUSDT,1777297500000,2315.01,2315.89,2302.38,2305.23,18076.21
USDT-FUTURES:ETHUSDT,1777297800000,2305.23,2310.5,2302.5,2310.5,6584.97
USDT-FUTURES:ETHUSDT,1777298100000,2310.5,2312.95,2308.81,2311.29,3545.46
USDT-FUTURES:ETHUSDT,1777298400000,2311.29,2313.37,2309.68,2310.0,1280.29
USDT-FUTURES:ETHUSDT,1777298700000,2310.0,2316.28,2307.49,2311.47,3544.21
USDT-FUTURES:ETHUSDT,1777299000000,2311.47,2314.57,2309.54,2313.54,1360.99
USDT-FUTURES:ETHUSDT,1777299300000,2313.54,2314.9,2309.9,2313.42,1484.85
USDT-FUTURES:ETHUSDT,1777299600000,2313.42,2314.15,2310.73,2313.8,1196.31
USDT-FUTURES:ETHUSDT,1777299900000,2313.8,2314.5,2311.52,2312.23,2935.33
USDT-FUTURES:ETHUSDT,1777300200000,2312.23,2315.5,2310.36,2314.31,2401.1
USDT-FUTURES:ETHUSDT,1777300500000,2314.31,2326.7,2314.21,2324.76,14141.76
USDT-FUTURES:ETHUSDT,1777300800000,2324.76,2325.95,2319.61,2325.12,3242.14
USDT-FUTURES:ETHUSDT,1777301100000,2325.12,2328.83,2322.72,2327.55,4885.3
USDT-FUTURES:ETHUSDT,1777301400000,2327.55,2327.99,2314.33,2317.92,5540.66
USDT-FUTURES:ETHUSDT,1777301700000,2317.92,2318.11,2311.47,2313.84,3167.1
