symbol_key,open_time_ms,open,high,low,close,volume
USDT-FUTURES:BTCUSDT,1777144800000,77302.4,77312.0,77278.5,77310.1,24.5455
USDT-FUTURES:BTCUSDT,1777145100000,77310.1,77310.1,77208.8,77218.9,33.6712
USDT-FUTURES:BTCUSDT,1777145400000,77218.9,77226.1,77182.3,77202.1,43.9188
USDT-FUTURES:BTCUSDT,1777145700000,77202.1,77222.4,77186.0,77187.5,44.9177
USDT-FUTURES:BTCUSDT,1777146000000,77187.5,77208.4,77146.9,77153.3,51.111
USDT-FUTURES:BTCUSDT,1777146300000,77153.3,77204.4,77153.3,77201.0,71.1926
USDT-FUTURES:BTCUSDT,1777146600000,77201.0,77248.0,77200.9,77248.0,13.9482
USDT-FUTURES:BTCUSDT,1777146900000,77248.0,77300.0,77248.0,77285.5,34.4175
USDT-FUTURES:BTCUSDT,1777147200000,77285.5,77319.0,77270.9,77274.5,58.6712
USDT-FUTURES:BTCUSDT,1777147500000,77274.5,77305.8,77268.3,77305.8,8.2287
USDT-FUTURES:BTCUSDT,1777147800000,77305.8,77345.5,77305.7,77312.0,38.6776
USDT-FUTURES:BTCUSDT,1777148100000,77312.0,77341.0,77307.7,77341.0,15.4181
USDT-FUTURES:BTCUSDT,1777148400000,77341.0,77389.0,77340.9,77378.1,46.0635
USDT-FUTURES:BTCUSDT,1777148700000,77378.1,77383.7,77344.3,77383.7,45.3319
USDT-FUTURES:BTCUSDT,1777149000000,77383.7,77383.8,77354.2,77364.0,20.3809
USDT-FUTURES:BTCUSDT,1777149300000,77364.0,77380.0,77360.6,77367.3,10.5397
USDT-FUTURES:BTCUSDT,1777149600000,77367.3,77375.8,77360.0,77360.0,8.1107
USDT-FUTURES:BTCUSDT,1777149900000,77360.0,77375.9,77360.0,77371.5,10.6057
USDT-FUTURES:BTCUSDT,1777150200000,77371.5,77389.0,77360.7,77389.0,18.4245
USDT-FUTURES:BTCUSDT,1777150500000,77389.0,77442.9,77388.9,77436.3,137.3555
USDT-FUTURES:BTCUSDT,1777150800000,77436.3,77488.8,77436.2,77469.9,103.5996
USDT-FUTURES:BTCUSDT,1777151100000,77469.9,77491.7,77452.3,77468.2,40.2436
USDT-FUTURES:BTCUSDT,1777151400000,77468.2,77492.3,77439.1,77459.2,30.7052
USDT-FUTURES:BTCUSDT,1777151700000,77459.2,77477.4,77451.9,77451.9,10.9092
USDT-FUTURES:BTCUSDT,1777152000000,77451.9,77483.3,77451.9,77473.7,12.4761
USDT-FUTURES:BTCUSDT,1777152300000,77473.7,77482.0,77441.9,77477.1,49.3708
USDT-FUTURES:BTCUSDT,1777152600000,77477.1,77480.1,77421.4,77421.4,20.4752
USDT-FUTURES:BTCUSDT,1777152900000,77421.4,77432.1,77409.6,77412.4,27.781
USDT-FUTURES:BTCUSDT,1777153200000,77412.4,77429.4,77374.7,77429.3,15.6078
USDT-FUTURES:BTCUSDT,1777153500000,77429.3,77466.3,77429.3,77446.1,8.9086
USDT-FUTURES:BTCUSDT,1777153800000,77446.1,77490.0,77418.3,77477.2,20.114
USDT-FUTURES:BTCUSDT,1777154100000,77477.2,77490.8,77460.0,77490.7,23.6372
USDT-FUTURES:BTCUSDT,1777154400000,77490.7,77493.0,77453.4,77492.0,29.1668
USDT-FUTURES:BTCUSDT,1777154700000,77492.0,77522.0,77470.4,77500.8,36.2746
USDT-FUTURES:BTCUSDT,1777155000000,77500.8,77500.8,77460.2,77468.1,17.0082
USDT-FUTURES:BTCUSDT,1777155300000,77468.1,77485.5,77457.8,77467.1,8.3655
USDT-FUTURES:BTCUSDT,1777155600000,77467.1,77496.4,77467.1,77492.1,28.2161
USDT-FUTURES:BTCUSDT,1777155900000,77492.1,77547.8,77488.1,77520.0,74.417
USDT-FUTURES:BTCUSDT,1777156200000,77520.0,77610.9,77520.0,77583.0,185.1555
USDT-FUTURES:BTCUSDT,1777156500000,77583.0,77590.8,77541.1,77545.0,50.0773
USDT-FUTURES:BTCUSDT,1777156800000,77545.0,77551.4,77520.4,77551.3,129.1426
USDT-FUTURES:BTCUSDT,1777157100000,77551.3,77551.3,77506.4,77506.5,37.9463
USDT-FUTURES:BTCUSDT,1777157400000,77506.5,77511.3,77488.0,77509.3,24.3786
USDT-FUTURES:BTCUSDT,1777157700000,77509.3,77530.6,77500.1,77514.2,36.7146
USDT-FUTURES:BTCUSDT,1777158000000,77514.2,77554.4,77477.2,77532.1,50.8039
USDT-FUTURES:BTCUSDT,1777158300000,77532.1,77568.5,77521.9,77540.0,55.1778
USDT-FUTURES:BTCUSDT,1777158600000,77540.0,77548.1,77536.1,77540.3,5.0417
USDT-FUTURES:BTCUSDT,1777158900000,77540.3,77554.8,77513.5,77554.8,8.8919
USDT-FUTURES:BTCUSDT,1777159200000,77554.8,77558.8,77515.6,77557.7,15.2333
USDT-FUTURES:BTCUSDT,1777159500000,77557.7,77557.7,77528.2,77546.6,28.2229
USDT-FUTURES:BTCUSDT,1777159800000,77546.6,77575.3,77530.9,77575.2,37.76
USDT-FUTURES:BTCUSDT,1777160100000,77575.2,77592.4,77566.2,77566.3,12.8699
USDT-FUTURES:BTCUSDT,1777160400000,77566.3,77604.1,77561.9,77562.0,41.1582
USDT-FUTURES:BTCUSDT,1777160700000,77562.0,77576.7,77550.5,77569.9,8.9603
USDT-FUTURES:BTCUSDT,1777161000000,77569.9,77576.7,77560.2,77574.7,25.2082
USDT-FUTURES:BTCUSDT,1777161300000,77574.7,77576.7,77550.5,77576.7,11.4739
USDT-FUTURES:BTCUSDT,1777161600000,77576.7,77585.8,77545.7,77585.0,62.8654
USDT-FUTURES:BTCUSDT,1777161900000,77585.0,77585.8,77483.2,77509.5,61.7271
USDT-FUTURES:BTCUSDT,1777162200000,77509.5,77515.4,77473.6,77506.8,42.6853
USDT-FUTURES:BTCUSDT,1777162500000,77506.8,77506.8,77446.9,77446.9,73.8456
USDT-FUTURES:BTCUSDT,1777162800000,77446.9,77458.0,77433.2,77435.0,33.9336
USDT-FUTURES:BTCUSDT,1777163100000,77435.0,77448.6,77423.9,77429.3,24.97
USDT-FUTURES:BTCUSDT,1777163400000,77429.3,77481.6,77403.3,77470.3,46.2904
USDT-FUTURES:BTCUSDT,1777163700000,77470.3,77476.3,77455.1,77462.2,17.3463
USDT-FUTURES:BTCUSDT,1777164000000,77462.2,77514.2,77462.2,77506.2,13.4087
USDT-FUTURES:BTCUSDT,1777164300000,77506.2,77517.2,77493.4,77501.6,19.2389
USDT-FUTURES:BTCUSDT,1777164600000,77501.6,77552.0,77493.8,77493.9,26.958
